Date,Open,High,Low,Close
20180101,14112.2,14112.2,13154.7,13657.2
20180102,13625.0,15444.6,13163.6,14982.1
20180103,14978.2,15572.8,14844.5,15201.0
20180104,15270.7,15739.7,14522.2,15599.2
20180105,15477.2,17705.2,15202.8,17429.5
20180106,17462.1,17712.4,16764.6,17527.0
20180107,17527.3,17579.6,16087.7,16477.6
20180108,16476.2,16537.9,14208.2,15170.1
20180109,15123.7,15497.5,14424.0,14595.4
20180110,14588.5,14973.3,13691.2,14973.3
20180111,14968.2,15018.8,13105.9,13405.8
20180112,13453.9,14229.9,13158.1,13980.6
20180113,13952.4,14659.5,13952.4,14360.2
20180114,14370.8,14511.8,13268.0,13772.0
20180115,13767.3,14445.5,13641.7,13819.8
20180116,13836.1,13843.1,10194.9,11490.5
20180117,11431.1,11678.0,9402.29,11188.6
20180118,11198.8,12107.3,10942.5,11474.9
20180119,11429.8,11992.8,11172.1,11607.4
20180120,11656.2,13103.0,11656.2,12899.2
20180121,12889.2,12895.9,11288.2,11600.1
20180122,11633.1,11966.4,10240.2,10931.4
20180123,10944.5,11377.6,10129.7,10868.4
20180124,10903.4,11501.4,10639.8,11359.4
20180125,11421.7,11785.7,11057.4,11259.4
20180126,11256.0,11656.7,10470.3,11171.4
20180127,11174.9,11614.9,10989.2,11440.7
20180128,11475.3,12040.3,11475.3,11786.3
20180129,11755.5,11875.6,11179.2,11296.4
20180130,11306.8,11307.2,10036.2,10106.3
20180131,10108.2,10381.6,9777.42,10221.1
20180201,10237.3,10288.8,8812.28,9170.54
20180202,9142.28,9142.28,7796.49,8830.75
20180203,8852.12,9430.75,8251.63,9174.91
20180204,9175.7,9334.87,8031.22,8277.01
20180205,8270.54,8364.84,6756.68,6955.27
20180206,7051.75,7850.7,6048.26,7754.0
20180207,7755.49,8509.11,7236.79,7621.3
20180208,7637.86,8558.77,7637.86,8265.59
20180209,8271.84,8736.98,7884.71,8736.98
20180210,8720.08,9122.55,8295.47,8621.9
20180211,8616.13,8616.13,7931.1,8129.97
20180212,8141.43,8985.92,8141.43,8926.57
20180213,8926.72,8958.47,8455.41,8598.31
20180214,8599.92,9518.54,8599.92,9494.63
20180215,9488.32,10234.8,9395.58,10166.4
20180216,10135.7,10324.1,9824.82,10233.9
20180217,10207.5,11139.5,10149.4,11112.7
20180218,11123.4,11349.8,10326.0,10551.8
20180219,10552.6,11273.8,10513.2,11225.3
20180220,11231.8,11958.5,11231.8,11403.7
20180221,11372.2,11418.5,10479.1,10690.4
20180222,10660.4,11039.1,9939.09,10005.0
20180223,9937.07,10487.3,9734.56,10301.1
20180224,10287.7,10597.2,9546.97,9813.07
20180225,9796.42,9923.22,9407.06,9664.73
20180226,9669.43,10475.0,9501.73,10366.7
20180227,10393.9,10878.5,10246.1,10725.6
20180228,10687.2,11089.8,10393.1,10397.9
20180301,10385.0,11052.3,10352.7,10951.0
20180302,10977.4,11189.0,10850.1,11086.4
20180303,11101.9,11528.2,11002.4,11489.7
20180304,11497.4,11512.6,11136.1,11512.6
20180305,11532.4,11704.1,11443.9,11573.3
20180306,11500.1,11500.1,10694.3,10779.9
20180307,10803.9,10929.5,9692.12,9965.57
20180308,9951.44,10147.4,9335.87,9395.01
20180309,9414.69,9466.35,8513.03,9337.55
20180310,9350.59,9531.32,8828.47,8866.0
20180311,8852.78,9711.89,8607.12,9578.63
20180312,9602.93,9937.5,8956.43,9205.12
20180313,9173.04,9470.38,8958.19,9194.85
20180314,9214.65,9355.85,8068.59,8269.81
20180315,8290.76,8428.35,7783.05,8300.86
20180316,8322.91,8585.15,8005.31,8338.35
20180317,8321.91,8346.53,7812.82,7916.88
20180318,7890.52,8245.51,7397.99,8223.68
20180319,8344.12,8675.87,8182.4,8630.65
20180320,8619.67,9051.02,8389.89,8913.47
20180321,8937.48,9177.37,8846.33,8929.28
20180322,8939.44,9100.71,8564.9,8728.47
20180323,8736.25,8879.62,8360.62,8879.62
20180324,8901.95,8996.18,8665.7,8668.12
20180325,8612.81,8682.01,8449.1,8495.78
20180326,8498.47,8530.08,7921.43,8209.4
20180327,8200.0,8232.78,7797.28,7833.04
20180328,7836.83,8122.89,7809.17,7954.48
20180329,7979.07,7994.33,7081.38,7165.7
