Date,Open,High,Low,Close
20180101,14112.2,17712.4,9402.29,10221.1
20180201,10237.3,11958.5,6048.26,10397.9
20180301,10385.0,11704.1,6683.93,6973.53
20180401,7003.06,9745.32,6526.87,9240.55
20180501,9251.47,9964.5,7090.68,7494.17
20180601,7500.7,7754.89,5826.41,6404.0
20180701,6411.68,8424.27,6136.42,7780.44
20180801,7769.04,7769.04,5971.05,7037.58
20180901,7044.81,7388.43,6197.52,6625.56
20181001,6619.85,6965.06,6236.47,6317.61
20181101,6318.14,6552.16,3585.06,4017.27
20181201,4024.46,4309.38,3191.3,3742.7
20190101,3746.71,4109.02,3400.82,3457.79
20190201,3460.55,4210.64,3391.02,3854.79
20190301,3853.76,4296.81,3733.75,4105.4
20190401,4105.36,5642.04,4096.9,5350.73
20190501,5350.91,9008.31,5347.65,8574.5
20190601,8573.84,13796.49,7564.49,10817.16
20190701,10796.93,13129.53,9163.13,10085.63
20190801,10077.44,12273.82,9421.63,9630.66
20190901,9630.59,10898.76,7830.76,8293.87
20191001,8299.72,10021.74,7446.99,9199.58
20191101,9193.99,9505.05,6617.17,7569.63
20191201,7571.62,7743.43,6540.05,7193.6
20200101,7194.89,9553.13,6915.0,9350.53
20200201,9346.36,10457.63,8492.93,8599.51
20200301,8599.76,9167.7,4106.98,6438.64
20200401,6437.32,9440.65,6202.37,8658.55
20200501,8672.78,9996.74,8374.32,9461.06
20200601,9463.61,10199.57,8975.53,9137.99
20200701,9145.99,11415.86,8977.02,11323.47
20200801,11322.57,12359.06,11012.42,11680.82
20200901,11679.32,12067.08,9916.49,10784.49
20201001,10795.25,14028.21,10416.69,13781.0
20201101,13781.0,19749.26,13243.16,19625.84
20201201,19633.77,29244.88,17619.53,29001.72
20210101,28994.01,41946.74,28722.76,33114.36
20210201,33114.58,58330.57,32384.23,45137.77
20210301,45159.5,61683.86,45115.09,58918.83
20210401,58926.56,64863.1,47159.48,57750.18
20210501,57714.66,59519.36,30681.5,37332.86
20210601,37293.79,41295.27,28893.62,35040.84
20210701,35035.98,42235.55,29360.96,41626.2
20210801,41460.84,50482.08,37458.0,47166.69
20210901,47099.77,52853.77,39787.61,43790.89
20211001,43816.74,66930.39,43320.02,61318.96
20211101,61320.45,68789.62,53569.77,57005.43
20211201,56907.96,59041.68,42874.62,46306.45
20220101,46311.75,47881.41,33184.06,38483.12
20220201,38481.77,45661.17,34459.22,43193.23
20220301,43194.5,48086.84,37260.2,45538.68
20220401,45554.16,47313.48,37697.94,37714.88
20220501,37713.27,39902.95,26350.49,31792.31
20220601,31792.55,31957.29,17708.62,19784.73
20220701,19820.47,24572.58,18966.95,23336.9
20220801,23336.72,25135.59,19600.79,20049.76
20220901,20050.5,22673.82,18290.31,19431.79
20221001,19431.11,20988.39,18319.82,20495.77
20221101,20494.9,21446.89,15599.05,17168.57
20221201,17168.0,18318.53,16398.14,16547.5
