Date,Open,High,Low,Close
20180101,14112.2,17712.4,13154.7,16477.6
20180108,16476.2,16537.9,13105.9,13772.0
20180115,13767.3,14445.5,9402.29,11600.1
20180122,11633.1,12040.3,10129.7,11786.3
20180129,11755.5,11875.6,7796.49,8277.01
20180205,8270.54,9122.55,6048.26,8129.97
20180212,8141.43,11349.8,8141.43,10551.8
20180219,10552.6,11958.5,9407.06,9664.73
20180226,9669.43,11528.2,9501.73,11512.6
20180305,11532.4,11704.1,8513.03,9578.63
20180312,9602.93,9937.5,7397.99,8223.68
20180319,8344.12,9177.37,8182.4,8495.78
20180326,8498.47,8530.08,6526.87,6844.23
20180402,6844.86,7530.94,6575.0,7023.52
20180409,7044.32,8338.42,6661.99,8329.11
20180416,8337.57,9001.64,7881.72,8802.46
20180423,8794.39,9745.32,8727.09,9419.08
20180430,9426.11,9964.5,8891.05,9654.8
20180507,9645.67,9665.85,8223.5,8723.94
20180514,8713.1,8881.12,7974.82,8513.25
20180521,8522.33,8557.52,7270.96,7368.22
20180528,7371.31,7754.89,7090.68,7720.25
20180604,7722.53,7753.82,6709.07,6786.02
20180611,6799.29,6910.18,6285.63,6499.27
20180618,6510.07,6822.5,5826.41,6173.23
20180625,6171.97,6465.51,5835.75,6385.82
20180702,6380.38,6885.91,6305.7,6773.88
20180709,6775.08,6838.68,6136.42,6359.64
20180716,6357.01,7594.67,6357.01,7418.49
20180723,7414.71,8424.27,7409.1,8218.46
20180730,8221.58,8235.5,6940.7,7068.48
20180806,7062.94,7166.55,6109.03,6322.69
20180813,6341.36,6617.35,5971.05,6506.07
20180820,6500.51,6816.79,6297.93,6707.26
20180827,6710.8,7306.31,6689.71,7272.72
20180903,7279.03,7388.43,6197.52,6300.86
20180910,6301.57,6596.1,6260.21,6517.18
20180917,6514.06,6814.56,6208.34,6710.63
20180924,6704.77,6785.03,6381.86,6625.56
20181001,6619.85,6653.3,6454.03,6602.95
20181008,6600.19,6675.06,6236.47,6290.93
20181015,6292.64,6965.06,6258.68,6482.35
20181022,6486.05,6543.8,6447.03,6486.39
20181029,6492.35,6547.14,6294.57,6376.13
20181105,6363.62,6552.16,6350.17,6411.27
20181112,6411.76,6434.21,5358.38,5623.54
20181119,5620.78,5620.78,3585.06,4009.97
20181126,4015.07,4413.02,3643.92,4139.88
20181203,4147.32,4155.98,3280.23,3614.23
20181210,3612.05,3647.33,3191.3,3252.84
20181217,3253.12,4198.43,3253.12,3998.98
20181224,4000.33,4271.79,3642.63,3865.95
20181231,3866.84,4093.3,3707.23,4076.63
20190107,4078.58,4109.02,3544.93,3552.95
20190114,3557.31,3758.53,3552.29,3601.01
20190121,3600.37,3654.93,3539.72,3583.97
20190128,3584.28,3586.75,3400.82,3464.01
20190204,3467.21,3695.61,3391.02,3690.19
20190211,3695.61,3695.61,3607.7,3673.84
20190218,3671.37,4210.64,3669.98,3810.43
20190225,3807.0,3913.71,3787.06,3847.18
20190304,3845.09,3987.24,3733.75,3951.6
20190311,3953.74,4077.04,3863.56,4025.23
20190318,4029.97,4097.36,4005.15,4022.17
20190325,4024.11,4296.81,3934.03,4105.4
20190401,4105.36,5307.0,4096.9,5198.9
20190408,5199.84,5421.65,4955.85,5167.72
20190415,5167.32,5359.92,5024.07,5314.53
20190422,5312.49,5642.04,5177.37,5285.14
20190429,5284.86,5886.89,5216.49,5795.71
20190506,5791.69,7503.87,5653.69,6972.37
20190513,6971.18,8320.82,6898.28,8197.69
20190520,8196.92,8687.52,7533.2,8673.22
20190527,8674.07,9008.31,8172.55,8742.96
20190603,8741.75,8743.5,7564.49,7688.08
20190610,7692.28,9335.87,7586.73,8994.49
20190617,8988.92,11246.14,8988.92,10855.37
20190624,10853.74,13796.49,10491.85,10817.16
20190701,10796.93,12006.08,9737.88,11450.85
20190708,11446.6,13129.53,10234.58,10256.06
20190715,10257.84,11052.77,9163.13,10599.11
20190722,10596.95,10651.79,9252.3,9552.86
20190729,9548.18,11009.21,9437.34,10970.18
20190805,10960.74,12273.82,10960.74,11523.58
20190812,11528.19,11528.19,9675.32,10345.81
20190819,10350.28,10947.04,9831.46,10138.52
20190826,10126.3,10512.33,9421.63,9757.97
20190902,9757.47,10898.76,9730.65,10441.28
20190909,10443.23,10450.31,9980.78,10347.71
